id	user_id	name
5c9b5293-5457-58f8-99b4-e678819f3fe9	5942a276-3f56-4b95-870b-1542aa45c9a4	MADRID
72db02fd-fcbd-5d7d-8a09-786769ab20f5	5942a276-3f56-4b95-870b-1542aa45c9a4	TOLEDO
4931a337-beed-5e08-b2bb-701afe1741b3	5942a276-3f56-4b95-870b-1542aa45c9a4	BARCELONA
2182f030-32c4-5912-b616-c552fb0a9e69	5942a276-3f56-4b95-870b-1542aa45c9a4	PARIS
e7b19a3f-c591-55ea-abd4-e75a80f4028c	5942a276-3f56-4b95-870b-1542aa45c9a4	BRUJAS
2efba488-ab31-573d-96a1-5b5595d5bb6c	5942a276-3f56-4b95-870b-1542aa45c9a4	MONT SAINT MICHEL
dd1e2ff5-90fc-5e93-858e-6412dd1f46fa	5942a276-3f56-4b95-870b-1542aa45c9a4	GENT
be9037c9-5408-5f8e-9966-c3c46095b64f	5942a276-3f56-4b95-870b-1542aa45c9a4	AMSTERDAM
a23b51d8-26cd-575a-a29d-3f646506edf9	5942a276-3f56-4b95-870b-1542aa45c9a4	LONDRES
2c51d045-4467-5b56-9328-7aef30b1f579	5942a276-3f56-4b95-870b-1542aa45c9a4	EDIMBURGO
